品項,主要產期,主要產地
釋迦,7月~翌年2月,卑南、臺東、太麻里、東河、鹿野
鳳梨釋迦,12~4月,卑南、臺東、東河、鹿野、太麻里
枇杷,1~4月,卑南、太麻里、鹿野、池上
水蜜桃(台農甜蜜桃),5~6月,海端、延平
玉荷包荔枝,5~6月,太麻里、大武、金峰
高接梨,5~8月,卑南、關山、太麻里、鹿野
鳳梨,3~11月,鹿野、卑南、大武
梅,3~4月,東河、海端、鹿野、延平、卑南、成功
臍橙,11~12月,東河、成功
晚崙西亞橙(香丁),2~4月,東河、成功、關山
白柚,10~12月,東河
文旦柚,8~9月,東河、池上
桶柑,11~2月,東河、成功、長濱、太麻里
百香果,7月~9月,卑南、臺東
波羅蜜,1~3月、5~9月,關山、大武、太麻里
紅龍果,6~11月,鹿野、太麻里、長濱、卑南

